post_id	page_type	missing	uploads	external	title	wayback_url
172	post	2	0	2	開發套件更輕鬆：Add-on Builder 正式登場	https://web.archive.org/web/20190715204418id_/https://blog.mozilla.com.tw/?p=172
186	post	1	1	0	Firefox 新增開發者工具和附加元件同步功能	https://web.archive.org/web/20190919102157id_/https://blog.mozilla.com.tw/?p=186
247	attachment	1	1	0	【0322美商謀智新聞圖片】09 各界共襄盛舉，祝福Mozilla Taiwan 生日快樂	https://web.archive.org/web/20150524221719id_/https://blog.mozilla.com.tw/?p=247
397	post	1	1	0	JSDC 2012，Mozilla 研究總監現身	https://web.archive.org/web/20150510130930id_/https://blog.mozilla.com.tw/?p=397
416	post	2	2	0	Mozilla Firefox Beta 版本開放下載測試！	https://web.archive.org/web/20190919102157id_/https://blog.mozilla.com.tw/?p=416
511	post	1	1	0	JSDC Taiwan 2012精彩花絮回顧	https://web.archive.org/web/20191019115358id_/https://blog.mozilla.com.tw/?p=511
547	post	1	0	1	Firefox Flicks 台灣參賽作品分享	https://web.archive.org/web/20190824002938id_/https://blog.mozilla.com.tw/?p=547
612	other	2	0	2	6月20日前進上海，Boot to Gecko軟實力發威！	https://web.archive.org/web/20190919102413id_/https://blog.mozilla.com.tw/?p=612
646	other	3	3	0	快速、聰明、安全的Firefox for Android 版本全新登場！	https://web.archive.org/web/20190919102413id_/https://blog.mozilla.com.tw/?p=646
898	attachment	1	1	0	開發者工具列的命令列工具可以用來抓圖	https://web.archive.org/web/20201231235959id_/https://blog.mozilla.com.tw/?p=898
1061	other	5	0	5	Persona 網路身分識別服務 – Beta 版首度釋出！	https://web.archive.org/web/20190824005743id_/https://blog.mozilla.com.tw/?p=1061
1134	other	2	0	2	【Add-On 一點通】很不愛看廣告的 「Adblock Plus」	https://web.archive.org/web/20190824010142id_/https://blog.mozilla.com.tw/?p=1134
1300	other	2	0	2	Firefox OS 問答集 (FAQ)	https://web.archive.org/web/20201231235959id_/https://blog.mozilla.com.tw/?p=1300
1371	other	2	0	2	10/27 Firefox 首度前進高雄之花絮報導	https://web.archive.org/web/20190825005132id_/https://blog.mozilla.com.tw/?p=1371
1485	attachment	1	1	0	1	https://web.archive.org/web/20201231235959id_/https://blog.mozilla.com.tw/?p=1485
1487	attachment	1	1	0	3	https://web.archive.org/web/20201231235959id_/https://blog.mozilla.com.tw/?p=1487
1636	other	4	4	0	12/02第一屆Firefox校園大使訓練營活動花絮(PART 2)	https://web.archive.org/web/20191019125156id_/https://blog.mozilla.com.tw/?p=1636
1680	other	1	1	0	「狐迷召集令」得獎名單公佈	https://web.archive.org/web/20190825010158id_/https://blog.mozilla.com.tw/?p=1680
1695	other	2	2	0	可分頁的「隱私瀏覽功能」首度登陸 Firefox Nightly 版！	https://web.archive.org/web/20190824010142id_/https://blog.mozilla.com.tw/?p=1695
1706	other	1	1	0	Mozilla 2012 全體動員令	https://web.archive.org/web/20190824001628id_/https://blog.mozilla.com.tw/?p=1706
1753	other	1	1	0	Firefox for Android Beta 開啓中文行動瀏覽體驗，並擴大ARMv6 手機支援！	https://web.archive.org/web/20190824001628id_/https://blog.mozilla.com.tw/?p=1753
1786	other	4	4	0	[ 行動 App 開發密技 ] 發佈 App 至 Mozilla Marketplace	https://web.archive.org/web/20201231235959id_/https://blog.mozilla.com.tw/?p=1786
1794	other	1	1	0	[ 活動公告 ] 1/26 Firefox OS App Days 報名入選名單	https://web.archive.org/web/20190825010158id_/https://blog.mozilla.com.tw/?p=1794
1813	other	4	4	0	[ 行動 App 開發密技 ] Remote-debugger	https://web.archive.org/web/20201231235959id_/https://blog.mozilla.com.tw/?p=1813
1828	other	1	0	1	Mozilla Firefox Flicks 全球微影片召集令開跑！	https://web.archive.org/web/20190825010158id_/https://blog.mozilla.com.tw/?p=1828
1846	other	30	30	0	1/26 Firefox OS App Days 活動花絮	https://web.archive.org/web/20190825010158id_/https://blog.mozilla.com.tw/?p=1846
1894	other	3	1	2	『除舊佈新，Firefox 祝你蛇年行大運！』得獎名單公告	https://web.archive.org/web/20190825010158id_/https://blog.mozilla.com.tw/?p=1894
1899	other	1	1	0	透過 Click to Play 功能，外掛程式啟用由您自訂	https://web.archive.org/web/20190824002718id_/https://blog.mozilla.com.tw/?p=1899
1915	other	1	1	0	Firefox OS App Days 得獎專訪 – 第一名 When Arrival	https://web.archive.org/web/20190825010158id_/https://blog.mozilla.com.tw/?p=1915
1927	other	1	1	0	Firefox OS App Days 得獎專訪 – 第二名 Battery Fox	https://web.archive.org/web/20190825011315id_/https://blog.mozilla.com.tw/?p=1927
1935	other	1	1	0	Firefox OS App Days 得獎專訪 – 第三名之一 今天吃什麼	https://web.archive.org/web/20190825011315id_/https://blog.mozilla.com.tw/?p=1935
1941	other	1	1	0	Firefox OS App Days 得獎專訪 – 第三名之二 Fudo Note	https://web.archive.org/web/20190825011315id_/https://blog.mozilla.com.tw/?p=1941
1945	other	2	0	2	Firefox for Android 繁體中文全面支援，桌機版內建 PDF 文件閱讀器	https://web.archive.org/web/20190824002718id_/https://blog.mozilla.com.tw/?p=1945
1968	other	1	1	0	Firefox Flicks 全球微影片競賽開跑！好萊塢評審名單出爐	https://web.archive.org/web/20201231235959id_/https://blog.mozilla.com.tw/?p=1968
1973	other	3	1	2	『 Firefox 新春賀歲, 貼文分享過好年 』得獎名單公告	https://web.archive.org/web/20190825011315id_/https://blog.mozilla.com.tw/?p=1973
1978	other	1	1	0	Firefox Beta 全新強化隱私瀏覽模式，可獨立開啓隱私瀏覽視窗！	https://web.archive.org/web/20190824010142id_/https://blog.mozilla.com.tw/?p=1978
2011	other	1	1	0	Firefox for Android Beta 許您獨一無二的瀏覽體驗，再添隱私瀏覽模式	https://web.archive.org/web/20190824002718id_/https://blog.mozilla.com.tw/?p=2011
2030	other	4	2	2	WebRTC－手機隨時分享、掌握所有資訊！	https://web.archive.org/web/20201231235959id_/https://blog.mozilla.com.tw/?p=2030
2042	other	12	12	0	台灣版 Firefox – Open Beta 開放測試中！外觀介紹搶先看！	https://web.archive.org/web/20201231235959id_/https://blog.mozilla.com.tw/?p=2042
2066	other	1	1	0	4 個快捷鍵可讓 Firefox 更快搜尋所需！	https://web.archive.org/web/20201231235959id_/https://blog.mozilla.com.tw/?p=2066
2070	other	8	8	0	大聲說出來！台灣版 Firefox – Open Beta 測試意見強力召集中！	https://web.archive.org/web/20201231235959id_/https://blog.mozilla.com.tw/?p=2070
2093	other	2	2	0	Firefox OS 模擬器 – 搶先預覽 3.0 版	https://web.archive.org/web/20201231235959id_/https://blog.mozilla.com.tw/?p=2093
2110	other	1	1	0	Firefox 為你的 Google 閱讀器找到另一種選擇	https://web.archive.org/web/20201231235959id_/https://blog.mozilla.com.tw/?p=2110
2114	other	1	1	0	在 Firefox OS 上建立付費 App	https://web.archive.org/web/20201231235959id_/https://blog.mozilla.com.tw/?p=2114
2240	other	1	1	0	Mozilla 基金會執行長 Mitchell Baker：慶祝 15 年的美好 Web	https://web.archive.org/web/20201231235959id_/https://blog.mozilla.com.tw/?p=2240
2322	other	1	1	0	「趣味快問快答」得獎名單公佈	https://web.archive.org/web/20190825011315id_/https://blog.mozilla.com.tw/?p=2322
2332	other	1	1	0	「3 月電子報有獎徵答」得獎名單公佈	https://web.archive.org/web/20190825011315id_/https://blog.mozilla.com.tw/?p=2332
2345	other	2	0	2	Firefox 22 更酷炫的開發工具	https://web.archive.org/web/20190824001316id_/https://blog.mozilla.com.tw/?p=2345
2402	other	2	0	2	偵測觸碰事件：重點在「原因」而非「方法」─ 下篇	https://web.archive.org/web/20190824001316id_/https://blog.mozilla.com.tw/?p=2402
2473	other	3	3	0	Firefox Flicks 2013 Early Entry Awards 首輪得獎名單	https://web.archive.org/web/20190825011315id_/https://blog.mozilla.com.tw/?p=2473
2516	other	1	1	0	把 Firefox 的搜尋列與網址列合而為一	https://web.archive.org/web/20201231235959id_/https://blog.mozilla.com.tw/?p=2516
2536	other	1	1	0	【Firefox 祕技】Firefox for Android 為更多手機提供更多功能	https://web.archive.org/web/20201231235959id_/https://blog.mozilla.com.tw/?p=2536
2560	other	4	4	0	Firefox OS Simulator 3.0 版來啦！	https://web.archive.org/web/20201231235959id_/https://blog.mozilla.com.tw/?p=2560
2581	other	1	1	0	《戰爭機器》製作公司展現強大的 Web 遊戲平台	https://web.archive.org/web/20201231235959id_/https://blog.mozilla.com.tw/?p=2581
2653	other	1	1	0	全新企劃：Phones for Apps for Firefox OS	https://web.archive.org/web/20201231235959id_/https://blog.mozilla.com.tw/?p=2653
2667	other	3	3	0	全台狐迷總動員，Firefox 全新功能酷炫登場！	https://web.archive.org/web/20190824003851id_/https://blog.mozilla.com.tw/?p=2667
2751	other	7	7	0	2013 JSDC 花絮報導	https://web.archive.org/web/20190825012419id_/https://blog.mozilla.com.tw/?p=2751
2773	other	2	2	0	Firefox 分頁的 5 大使用秘訣	https://web.archive.org/web/20201231235959id_/https://blog.mozilla.com.tw/?p=2773
2792	other	3	3	0	動動手，讓自己的網頁嵌入 WebRTC 視訊聊天功能！	https://web.archive.org/web/20201231235959id_/https://blog.mozilla.com.tw/?p=2792
2819	other	6	6	0	寫好 Firefox OS 的 App 了嗎？快送進 Geeksphone 來玩玩吧！	https://web.archive.org/web/20201231235959id_/https://blog.mozilla.com.tw/?p=2819
2842	other	1	1	0	Firefox 有新的下載管理員功能囉！	https://web.archive.org/web/20190824002920id_/https://blog.mozilla.com.tw/?p=2842
2867	other	1	1	0	2013 亞洲移動通信博覽會 Firefox OS 與你相約，6/26 – 6/28 引爆上海！	https://web.archive.org/web/20201231235959id_/https://blog.mozilla.com.tw/?p=2867
2882	other	3	1	2	確認自己下載了真正的 Firefox，也同時小心間諜或詐騙軟體！	https://web.archive.org/web/20190824002920id_/https://blog.mozilla.com.tw/?p=2882
2902	other	1	1	0	就是要好玩的 Firefox 附加元件！	https://web.archive.org/web/20190824002920id_/https://blog.mozilla.com.tw/?p=2902
2910	other	1	1	0	「5 月電子報有獎徵答」得獎名單公佈	https://web.archive.org/web/20190825012419id_/https://blog.mozilla.com.tw/?p=2910
2935	other	2	2	0	多款 Firefox OS 手機亮相亞洲移動通信博覽會	https://web.archive.org/web/20190824003851id_/https://blog.mozilla.com.tw/?p=2935
2945	other	2	0	2	Firefox 在 Web 上提供 3D 遊戲、視訊電話、檔案共享功能！	https://web.archive.org/web/20190824003851id_/https://blog.mozilla.com.tw/?p=2945
2954	other	1	1	0	全新 Firefox Logo 與 Firefox Beta 版亮眼登場！	https://web.archive.org/web/20190824002920id_/https://blog.mozilla.com.tw/?p=2954
2989	other	3	3	0	快來更新並用力測試 Firefox OS 開發者預覽手機 Geeksphone	https://web.archive.org/web/20201231235959id_/https://blog.mozilla.com.tw/?p=2989
3001	other	3	2	1	5 個方法大聲散播 Firefox OS 上市的消息	https://web.archive.org/web/20201231235959id_/https://blog.mozilla.com.tw/?p=3001
